nursery,forgery,messy,ˈnərsəri,ˈfɔrʤəri,ˈmɛsi
cop,on the job,marimba,kɑp,ɔn ðə ʤɑb,mərˈɪmbə
smiling,stockpiling,jumpy,sˈmaɪlɪŋ,ˈstɑkˌpaɪlɪ,ˈʤəmpi
fiction,christian,weather,ˈfɪkʃən,ˈkrɪsʧɪn,ˈwɛðər
road,diode,vivacious,roʊd,daɪoʊd,vəˈveɪʃəs
cabin,gallon,hallowed,ˈkæbən,ˈgælən,ˈhæloʊd
big,dig,relationship,bɪg,dɪ,riˈleɪʃənˌʃɪp
waitress,celebrated,legacy,ˈweɪtrəs,ˈsɛləˌbreɪtɪ,ˈlɛgəsi
year,gear,cabin,jɪr,gɪ,ˈkæbən
leaf,roast beef,landing,lif,roʊst bi,ˈlændɪŋ
shady,maybe,census,ˈʃeɪdi,ˈmeɪbi,ˈsɛnsəs
jelly,melly,face,ˈʤɛli,ˈmɛli,feɪs
hoi,soy,rutabaga,hɔɪ,sɔɪ,ˈrutəbeɪgə
strain,reign,leash,streɪn,reɪ,liʃ
kip,ship,dash,kɪp,ʃɪ,dæʃ
bach,block,symbolize,bɑk,blɑk,ˈsɪmbəˌlaɪz
jack,stack,redirect,ʤæk,stæk,ˌridərˈɛkt
disguise,compromise,chateau,dɪsˈgaɪz,ˈkɑmprəˌmaɪ,ʃæˈtoʊ
want,avant,forehead,wɔnt,əˈvɑnt,ˈfɔrhɛd
beating,meaning,auto,ˈbitɪŋ,ˈminɪŋ,ˈɔtoʊ
impress,access,chutney,ˌɪmˈprɛs,ˈækˌsɛ,ˈʧətni
clue,sue,rancher,klu,su,ˈrænʧər
banner,lander,maize,ˈbænər,ˈlændər,meɪz
sell,dwell,transport,sɛl,dwɛ,ˈtrænspɔrt
vise,price,sort,vaɪs,praɪ,sɔrt
timing,lighting,stencil,ˈtaɪmɪŋ,ˈlaɪtɪ,ˈstɛnsɪl
lean,green,harpsichord,lin,grin,ˈhɑrpsəˌkɔrd
dead,head,station,dɛd,hɛd,ˈsteɪʃən
ma,draw,jacket,mɑ,drɔ,ˈʤækɪt
bowling,cajoling,birdcage,ˈboʊlɪŋ,kəˈʤoʊlɪŋ,ˈbərdkeɪʤ
pluck,buck,secrecy,plək,bə,ˈsikrəsi
addicted,system,opposite,əˈdɪktɪd,ˈsɪstə,ˈɑpəzɪt
birthday,cocktail,export,ˈbərθˌdeɪ,ˈkɑkˌteɪ,ˈɛkspɔrt
wept,perfect,pith,wɛpt,ˈpərˌfɪkt,pɪθ
capital,animal,think,ˈkæpɪtəl,ˈænəmə,θɪŋk
gale,detail,give,geɪl,ˈditeɪl,gɪv
explain,always,towering,ɪkˈspleɪn,ˈɔlˌweɪ,ˈtaʊrɪŋ
version,incursion,lever,ˈvərʒən,ˌɪnˈkərʒə,ˈlɛvər
meat,cheat,pump,mit,ʧit,pəmp
ledger,leather,correspondence,ˈlɛʤər,ˈlɛðə,ˌkɔrəˈspɑndəns
kill,bill,spectacle,kɪl,bɪ,ˈspɛktəkəl
belie,goodbye,method,bɪˈlaɪ,ˌgʊdˈbaɪ,ˈmɛθəd
build,billed,swimsuit,bɪld,bɪld,sˈwɪmˌsut
handsome,finances,warlike,ˈhænsəm,ˈfaɪˌnænsɪz,ˈwɔˌrlaɪk
correctly,healthy,bathroom,kərˈɛktli,ˈhɛlθi,ˈbæθˌrum
mini,mckinney,spotlight,ˈmɪni,məˈkɪni,ˈspɑˌtlaɪt
paste,aced,chase,peɪst,eɪ,ʧeɪs
blade,evade,snobbish,bleɪd,ɪˈveɪd,sˈnɑbɪʃ
delay,birthday,booster,dɪˈleɪ,ˈbərθˌdeɪ,ˈbustər
brother,cover,cowbell,ˈbrəðər,ˈkəvər,ˈkaʊˌbɛl
savannah,piano,feed,səˈvænə,piˈænə,fid
petition,existence,skip,pəˈtɪʃən,ɪgˈzɪstəns,skɪp
lonely,coney,guide,ˈloʊnli,ˈkoʊni,gaɪd
nationwide,enterprise,hotdog,ˈneɪʃənˈwaɪd,ˈɛnərˌpraɪ,ˈhɑtˌdɔg
roar,wire,old,rɔr,waɪər,oʊld
sumatra,opera,tired,ˌsuˈmɑtrə,ˈɑprə,taɪərd
everything,bling,arrogant,ˈɛvriˌθɪŋ,blɪŋ,ˈɛrəgənt
ford,scarred,deliver,fɔrd,skɑ,dɪˈlɪvər
machine,routine,edition,məˈʃin,ruˈtin,ɪˈdɪʃən
complicated,hatred,tectonics,ˈkɑmpləˌkeɪtəd,ˈheɪtrə,tɛkˈtɑnɪks
friendship,reception,revival,ˈfrɛndʃɪp,rɪˈsɛpʃən,rɪˈvaɪvəl
invite,slight,nectar,ˌɪnˈvaɪt,slaɪ,ˈnɛktər
lipstick,dismiss,cooperation,ˈlɪpˌstɪk,dɪsˈmɪ,kˌwɔpərˈeɪʃən
hall,ball,pizza,hɔl,bɔl,ˈpitsə
spit,hit,liberty,spɪt,hɪt,ˈlɪbərˌti
bite,fight,deviance,baɪt,faɪ,ˈdiviəns
slang,bang,conversion,slæŋ,bæ,kənˈvərʒən
needles,evil,sorrel,ˈnidəlz,ˈivə,ˈsɔrəl
healthy,correctly,restored,ˈhɛlθi,kərˈɛktli,rɪˈstɔrd
wick,chick,magical,wɪk,ʧɪk,ˈmæʤɪkəl
leeway,bay,linguistics,ˈliˌweɪ,beɪ,lɪŋgˈwɪstɪks
endure,retire,attraction,ɪnˈdʊr,ˌriˈtaɪər,əˈtrækʃən
captain kidd,rid,conspiracy,ˈkæptən kɪd,rɪ,kənˈspɪrəsi
identify,tantalize,revenge,aɪˈdɛntəˌfaɪ,ˈtænəˌlaɪ,riˈvɛnʤ
sling,spring,hint,slɪŋ,spərɪŋ,hɪnt
frown,town,dusty,fraʊn,taʊn,ˈdəsti
burst,immersed,patty,bərst,ˌɪˈmərst,ˈpæti
diesel,needle,ticket,ˈdizəl,ˈnidə,ˈtɪkɪt
invincible,visible,interviewer,ˌɪnˈvɪnsəbəl,ˈvɪzəbə,ˈɪntərvˌjuər
father,bother,sling,ˈfɑðər,ˈbɑðə,slɪŋ
distraught,passport,mouton,dɪˈstrɔt,ˈpæˌspɔ,ˈmutɔn
lobster,washer,guideline,ˈlɑbstər,ˈwɑʃər,ˈgaɪˌdlaɪn
medicine,incredible,transit,ˈmɛdəsən,ˌɪnˈkrɛdəbəl,ˈtrænzɪt
shop,glop,saddle,ʃɑp,glɑp,ˈsædəl
retire,bore,population,ˌriˈtaɪər,bɔ,ˌpɑpjəˈleɪʃən
crop,gob,book,krɑp,gɑb,bʊk
mighty,dicey,clay,ˈmaɪti,ˈdaɪsi,kleɪ
fold,uncontrolled,culvert,foʊld,ˌənkənˈtroʊld,ˈkəlvərt
rare,software,infiltration,rɛr,ˈsɔfˌwɛ,ˌɪnfɪlˈtreɪʃən
suffer,lover,rape,ˈsəfər,ˈləvə,reɪp
pole,boll,perfection,poʊl,boʊl,pərˈfɛkʃən
trick,lipstick,verbalize,trɪk,ˈlɪpˌstɪ,ˈvərbəˌlaɪz
canteen,magazine,effect,kænˈtin,ˈmægəˌzi,ˈifɛkt
apricot,rot,harald,ˈeɪprəˌkɑt,rɑ,ˈhɑrəld
man,iran,squeegee,mæn,ˌɪˈrɑ,skˈwiʤi
step,eb,catacomb,stɛp,ɛb,ˈkætəˌkoʊm
frail,mail,fall,freɪl,meɪ,fɔl
hypocrisy,quality,tremble,hɪˈpɑkrəsi,kˈwɑləti,ˈtrɛmbəl
consider,hither,grandparent,kənˈsɪdər,ˈhɪðər,ˈgrændˌpɛrənt
bitterness,wilderness,onion,ˈbɪtərnəs,ˈwɪldərnə,ˈənjən
slow,bestow,warrant,sloʊ,bɪˈstoʊ,ˈwɔrənt
ruler,sewer,reform,ˈrulər,suər,rɪˈfɔrm
roll,atoll,birch,roʊl,ˈæˌtɔ,bərʧ
arise,galvanize,funny,əraɪz,ˈgælvəˌnaɪz,ˈfəni
cart,chart,accompanist,kɑrt,ʧɑrt,əˈkəmpənəst
language,mangle,recording,ˈlæŋgwɪʤ,ˈmæŋgə,rɪˈkɔrdɪŋ
solano,poncho,grain,soʊˈlɑnoʊ,ˈpɑnʧoʊ,greɪn
crew,shampoo,appellation,kru,ʃæmˈpu,ˌæpəˈleɪʃən
pillow,zero,initialize,ˈpɪloʊ,ˈziroʊ,ˌɪˈnɪʃəˌlaɪz
propagate,overweight,admit,ˈprɑpəˌgeɪt,ˌoʊvərˈweɪ,ədˈmɪt
antler,cancer,track,ˈæntlər,ˈkænsə,træk
gatorade,runaway,niece,ˈgætərˌeɪd,ˈrənəˌweɪ,nis
knock,walk,overcome,nɑk,wɔk,ˈoʊvərˌkəm
boyfriend,spend,interpret,ˈbɔɪˌfrɛnd,spɛnd,ˌɪnˈtərprət
steam,pipe dream,methodology,stim,paɪp drim,ˌmɛθəˈdɑləʤi
luck,wood duck,overweight,lək,wʊd dək,ˌoʊvərˈweɪt
pill,mill,chassis,pɪl,mɪl,ˈʧæsi
wait,resonate,greasy,weɪt,ˈrɛzəˌneɪ,ˈgrisi
looker,pusher,barbarous,ˈlʊkər,ˈpʊʃər,ˈbɑrbərəs
song,throng,vivacious,sɔŋ,θrɔŋ,vəˈveɪʃəs
wrist,preexist,behest,rɪst,ˈpriɪgˈzɪst,bɪˈhɛst
escape,replace,innovate,ɪˈskeɪp,ˌriˈpleɪ,ˈɪnəˌveɪt
sill,instill,counsellor,sɪl,ˌɪnˈstɪ,ˈkaʊnsələr
payroll,shadow,terrace,ˈpeɪˌroʊl,ˈʃæˌdoʊ,ˈtɛrəs
bark,monarch,scripture,bɑrk,ˈmɑˌnɑ,ˈskrɪpʧər
yet,get,cupboard,jɛt,gɪt,ˈkəbərd
bait,vacillate,blood,beɪt,ˈvæsəˌleɪ,bləd
defused,amused,hype,dɪfˈjuzd,əmˈju,haɪp
miss,french kiss,assembly,mɪs,frɛnʧ kɪs,əˈsɛmbli
serene,perceive,bed,sərˈin,pərˈsi,bɛd
toy,croix,sill,tɔɪ,krɔɪ,sɪl
strength,length,accuracy,strɛŋθ,lɛŋθ,ˈækjərəsi
suit,fruit,toothpaste,sut,fru,ˈtuθˌpeɪst
interspersed,first,cardigan,ˌɪntərˈspərst,fə,ˈkɑrdɪgən
sore,or,swine,sɔr,ər,swaɪn
teacher,heater,seek,ˈtiʧər,ˈhitə,sik
asses,glasses,sensor,ˈæsəz,ˈglæsɪ,ˈsɛnsər
winning,drinking,banker,ˈwɪnɪŋ,ˈdrɪŋkɪ,ˈbæŋkər
alarmed,learned,dial,əˈlɑrmd,ˈlərnɪd,daɪəl
mackerel,pastoral,feeding,ˈmækərəl,ˈpæstərəl,ˈfidɪŋ
post,boast,know-how,poʊst,boʊst,noʊ haʊ
camel,young mammal,workable,ˈkæməl,jəŋ ˈmæməl,ˈwərkəbəl
fencing,benson,sundial,ˈfɛnsɪŋ,ˈbɛnsən,ˈsənˌdaɪl
fulfilled,build,sarong,fʊlˈfɪld,bɪ,sərɔŋ
raw milk,silk,comptroller,rɑ mɪlk,sɪ,ˈkɑmˌtroʊlər
support,consort,cue,səˈpɔrt,kənˈsɔrt,kju
revival,life cycle,guideline,rɪˈvaɪvəl,laɪf ˈsaɪkəl,ˈgaɪˌdlaɪn
shout,doubt,inverse,ʃaʊt,daʊ,ˌɪnˈvərs
bet,reset,turnstile,bɛt,ˈrisɛt,ˈtərnˌstaɪl
rowing,going,deviance,roʊɪŋ,goʊɪ,ˈdiviəns
nice,concise,fiction,nis,kənˈsaɪs,ˈfɪkʃən
borrow,pharaoh,critique,ˈbɑˌroʊ,ˈfɛroʊ,krɪˈtik
float,scapegoat,catch,floʊt,ˈskeɪpˌgoʊ,kæʧ
wedding,wearing,axiomatic,ˈwɛdɪŋ,ˈwɛrɪŋ,ˌæksiəˈmætɪk
stare,compare,dresser,stɛr,kəmˈpɛ,ˈdrɛsər
ham,clam,probability,hæm,klæm,ˌprɑbəˈbɪləˌti
trove,hove,tennis,troʊv,hoʊv,ˈtɛnɪs
lashing,fashion,possession,ˈlæʃɪŋ,ˈfæʃən,pəˈzɛʃən
surprise,design,feigned,səˈpraɪz,dɪˈzaɪ,feɪnd
faribault,salt,warlord,ˈfærəˌbɑlt,sɔ,ˈwɔˌrlɔrd
heirloom,broom,shanty,ˈɛˌrlum,brum,ˈʃænti
sip,ad-lib,talking,sɪp,æd lɪ,ˈtɔkɪŋ
vickey,whiskey,motel,ˈvɪki,ˈwɪski,moʊˈtɛl
disconcert,sort,endorsement,ˌdɪskənˈsərt,sɔrt,ɛnˈdɔrsmənt
essence,lessens,cricket,ˈɛsəns,ˈlɛsə,ˈkrɪkɪt
chin,spin,cafe,ʧɪn,spɪn,kəˈfeɪ
grace,gates,cow,greɪs,geɪts,kaʊ
compromise,realize,discrepancy,ˈkɑmprəˌmaɪz,ˈriəˌlaɪ,dɪˈskrɛpənsi
inspiration,corporation,brushfire,ˌɪnspərˈeɪʃən,ˌkɔrpərˈeɪʃən,ˈbrəʃˌfaɪr
meter,leader,itch,ˈmitər,ˈlidə,ɪʧ
shelter,dwarf elder,seed,ˈʃɛltər,dwɔrf ˈɛldə,sid
gas,looking glass,giggle,gæs,ˈlʊkɪŋ glæs,ˈgɪgəl
able,painful,mind,ˈeɪbəl,ˈpeɪnfəl,maɪnd
reduce,perfume,nothing,rɪˈdus,pərfˈju,ˈnəθɪŋ
bug,chug,checkout,bəg,ʧəg,ˈʧɛˌkaʊt
pestilence,excellent,magnitude,ˈpɛstələns,ˈɛksələ,ˈmægnəˌtud
nurture,virtue,temptation,ˈnərʧər,ˈvərʧu,tɛmˈteɪʃən
depressed,accept,target,dɪˈprɛst,əkˈsɛpt,ˈtərgət
debt,asset,master,dɛt,ˈæˌsɛ,ˈmæstər
blade,lade,other,bleɪd,leɪ,ˈəðər
facilitate,straight,designation,fəˈsɪləˌteɪt,streɪ,ˌdɛzɪgˈneɪʃən
blackmail,fail,incision,ˈblækˌmeɪl,feɪl,ˌɪnˈsɪʒən
close,morose,quit,kloʊz,məroʊ,kwɪt
chromosome,comb,wok,ˈkroʊməˌzoʊm,koʊ,wɑk
converse,purse,shot,ˈkɑnvərs,pə,ʃɑt
fancy,stanley,jam,ˈfænsi,ˈstænli,ʤæm
pat,flat,picayune,pæt,flæ,ˌpɪkiˈjun
fat,copycat,wreck,fæt,ˈkɑpiˌkæt,rɛk
tree,reality,abundant,tri,ˌriˈæləˌti,əˈbəndənt
promise,wallace,diaper,ˈprɑməs,ˈwɔlɪs,ˈdaɪpər
rewired,choir,rare,riˈwaɪərd,kwaɪə,rɛr
horned screamer,dreamer,median,hɔrnd ˈskrimər,ˈdrimə,ˈmidiən
split,armpit,livestock,splɪt,ˈɑrmˌpɪt,ˈlaɪvˌstɑk
possibility,litany,lush,ˌpɑsəˈbɪləˌti,ˈlɪtəni,ləʃ
usual,cubicle,jumbled,ˈjuʒəwəl,ˈkjubɪkəl,ˈʤəmbəld
schtick,kick,drapes,ʃtɪk,kɪk,dreɪps
estate,weight,highfalutin,ɛˈsteɪt,weɪ,ˌhaɪfəˈlutɪn
dynamite,mesmerize,network,ˈdaɪnəˌmaɪt,ˈmɛzmərˌaɪz,ˈnɛtˌwərk
brown,bear down,platter,braʊn,bɛr daʊ,ˈplætər
holiday,today,silly,ˈhɑlɪˌdeɪ,təˈdeɪ,ˈsɪli
dote,note,credential,doʊt,noʊ,krɪˈdɛnʃəl
harp,arb,bonus,hɑrp,ɑrb,ˈboʊnəs
slip,kinship,foxglove,slɪp,ˈkɪnˌʃɪ,ˈfɑksˌgləv
adid,eyelid,professor,əˈdɪd,ˈaɪˌlɪ,prəˈfɛsər
cast,gast,certainty,kæst,gæ,ˈsərtənti
nosedive,drive,comptroller,ˈnoʊzˌdaɪv,draɪ,ˈkɑmˌtroʊlər
introduce,introduced,prickly,ˌɪntrəˈdus,ˌɪntrəˈdust,ˈprɪkli
depressed,jest,zipper,dɪˈprɛst,ʤɛst,ˈzɪpər
vanish,horseradish,alluvium,ˈvænɪʃ,ˈhɔrsˌrædɪʃ,ˌæˈluviəm
cocktail,male,racial,ˈkɑkˌteɪl,meɪ,ˈreɪʃəl
bathroom,bedrooms,shipping,ˈbæθˌrum,ˈbɛˌdrumz,ˈʃɪpɪŋ
grace,lace,hello,greɪs,leɪ,hɛˈloʊ
unmanned,band,bumpy,ənˈmænd,bænd,ˈbəmpi
shame,mainframe,constellation,ʃeɪm,ˈmeɪnˌfreɪ,ˌkɑnstəˈleɪʃən
thumper,wonder,divert,ˈθəmpər,ˈwəndər,dɪˈvərt
glares,upstairs,plot,glɛrz,əpˈstɛrz,plɑt
understood,secure,caribou,ˌəndərˈstʊd,sɪˈkjʊr,ˈkɛrɪˌbu
trademark,bark,beggar,ˈtreɪdˌmɑrk,bɑ,ˈbɛgər
pain,contain,childlike,peɪn,kənˈteɪ,ˈʧaɪlˌdlaɪk
gentle,kettle,encourage,ˈʤɛnəl,ˈkɛtə,ɪnˈkərəʤ
tough,enough,fishing,təf,ɪˈnəf,ˈfɪʃɪŋ
internecine,gene,countryside,ˌɪnˈtərnəˌsin,ʤi,ˈkəntriˌsaɪd
lonely,pepperoni,elixir,ˈloʊnli,ˌpɛpərˈoʊni,ɪˈlɪksər
hidebound,sound,depressed,ˈhaɪdˌbaʊnd,saʊnd,dɪˈprɛst
coffee,copy,schoolhouse,ˈkɔfi,ˈkɑpi,ˈskuˌlhaʊs
worth,live birth,samurai,wərθ,lɪv bərθ,ˈsæmʊˌraɪ
mose,suppose,briefing,moʊz,səˈpoʊz,ˈbrifɪŋ
miracle,parable,incompetent,ˈmɪrəkəl,ˈpɛrəbəl,ˌɪnˈkɑmpətənt
thing,bing,godmother,θɪŋ,bɪ,ˈgɑdˌməðər
proffer,father,mango,ˈprɑfər,ˈfɑðə,ˈmæŋgoʊ
violin,begins,retrospective,vaɪəˈlɪn,bɪˈgɪ,ˌrɛtrəˈspɛktɪv
digging,singing,gaping,ˈdɪgɪŋ,ˈsɪŋɪ,ˈgeɪpɪŋ
stew,screw,lox,stu,skru,ləks
qualified,side,outset,kˈwɑləˌfaɪd,saɪd,ˈaʊtˌsɛt
bump,lift pump,greasy,bəmp,lɪft pəmp,ˈgrisi
float,roat,aggression,floʊt,roʊt,əˈgrɛʃən
drama,papa,trip,ˈdrɑmə,ˈpɑˌpə,trɪp
till,overkill,dare,tɪl,ˈoʊvərˌkɪ,dɛr
look up,rub,feast,lʊk əp,rəb,fist
tape,broccoli rabe,adamant,teɪp,ˈbrɑkəli reɪb,ˈædəmənt
hype,pipe,armament,haɪp,paɪ,ˈɑrməmənt
butter,wonder,wasp,ˈbətər,ˈwəndə,wɑsp
away,railway,fortunate,əˈweɪ,ˈreɪlˌweɪ,ˈfɔrʧənət
thea,idea,tremor,ˈθiə,aɪˈdiə,ˈtrɛmər
exchange,range,arrogance,ɪksˈʧeɪnʤ,reɪ,ˈɛrəgəns
mother,usher,bottle,ˈməðər,ˈəʃər,ˈbɑtəl
galer,tailor,rooster,ˈgeɪlər,ˈteɪlər,ˈrustər
crow,flow,breed,kroʊ,floʊ,brid
applesauce,apricot,till,ˈæpəlˌsɔs,ˈeɪprəˌkɑ,tɪl
pantomime,chime,controversy,ˈpæntəˌmaɪm,ʧaɪm,ˈkɑntrəˌvərsi
poem,poet,fur,poʊəm,poʊə,fər
bit,armpit,downfall,bɪt,ˈɑrmˌpɪt,ˈdaʊnˌfɔl
dock,stock,guttural,dɑk,stɑk,ˈgətərəl
clients,giant,wail,klaɪənts,ʤaɪə,weɪl
squealing,class feeling,haze,skˈwilɪŋ,klæs ˈfilɪŋ,heɪz
scare,bear,lantern,skɛr,bɛ,ˈlæntərn
sump,dump,theft,səmp,də,θɛft
punter,number,eyrie,ˈpəntər,ˈnəmbər,ˈɛri
labor,daycare,bootie,ˈleɪbər,ˈdeɪˌkɛ,ˈbuti
hoots,use,ceramics,huts,ju,sərˈæmɪks
bible,revival,nonbeliever,ˈbaɪbəl,rɪˈvaɪvəl,ˌnɑnbɪˈlivər
excited,divided,color,ɪkˈsaɪtɪd,dɪˈvaɪdɪ,ˈkələr
moving,student,catalyst,ˈmuvɪŋ,ˈstudənt,ˈkætəˌlɪst
whale,shale,stump,weɪl,ʃeɪ,stəmp
wart,shirt,watchful,wɔrt,ʃərt,ˈwɑʧfəl
sizing,driving,tournament,ˈsaɪzɪŋ,ˈdraɪvɪŋ,ˈtʊrnəmənt
crocodile,file,screw-up,ˈkrɑkəˌdaɪl,faɪ,skru əp
slate,alleviate,lieu,sleɪt,əˈliviˌeɪ,lu
shadow,whacko,cruelty,ˈʃæˌdoʊ,ˈwækoʊ,ˈkruəlti
penny,chevy,irony,ˈpɛni,ˈʧɛˌvi,ˈaɪrəni
assigned,design,backdrop,əˈsaɪnd,dɪˈzaɪ,ˈbækˌdrɑp
passion,clashing,fridge,ˈpæʃən,ˈklæʃɪŋ,frɪʤ
solution,confusion,alteration,səˈluʃən,kənfˈjuʒən,ˌɔltərˈeɪʃən
tan,japan,digit,tæn,ʤəˈpæ,ˈdɪʤɪt
competition,precision,sandal,ˌkɑmpəˈtɪʃən,priˈsɪʒən,ˈsændəl
spirit,interest,captor,ˈspɪrɪt,ˈɪntəˌrɛ,ˈkæptər
plead,deed,fowl,plid,di,faʊl
whisper,lifter,fondue,ˈwɪspər,ˈlɪftə,ˈfɑnˌdu
big,dig,lawsuit,bɪg,dɪ,ˈlɔˌsut
wicked,fickle,vote,ˈwɪkəd,ˈfɪkəl,voʊt
mattress,lattice,booking,ˈmætrəs,ˈlætəs,ˈbʊkɪŋ
helpless,shell-less,hurdler,ˈhɛlpləs,ʃɛl lɛ,ˈhərdələr
adrift,gift,disruption,əˈdrɪft,gɪ,dɪsˈrəpʃən
cadet,get,soda,kəˈdɛt,gɪ,ˈsoʊdə
anticipation,infection,certificate,ænˌtɪsəˈpeɪʃən,ˌɪnˈfɛkʃən,sərˈtɪfɪkət
fire,appear,sphere,faɪər,əˈpɪr,sfɪr
mao,bow,competitor,maʊ,boʊ,kəmˈpɛtɪtər
fairy,worry,withdraw,ˈfɛri,ˈwəri,wɪθˈdrɔ
qualify,categorize,pint,kˈwɑləˌfaɪ,ˈkætəgərˌaɪz,paɪnt
finite,fight,squealing,ˈfaɪˌnaɪt,faɪt,skˈwilɪŋ
misleading,dealing,laundry,mɪsˈlidɪŋ,ˈdilɪŋ,ˈlɔndri
mess,ess,extract,mɛs,ɛs,ˈɛkˌstrækt
paste,replaced,rawhide,peɪst,ˌriˈpleɪ,ˈrɔˌhaɪd
rescue,leffew,lapdog,ˈrɛskju,ˈlɛfju,ˈlæpˌdɔg
fortune,warren,bowl,ˈfɔrʧən,ˈwɔrə,boʊl
speech,each,strap,spiʧ,iʧ,stræp
juniper,cucumber,significance,ˈʤunəpər,ˈkjukəmbə,sɪgˈnɪfɪkəns
sanding,planning,wide-eyed,ˈsændɪŋ,ˈplænɪ,waɪd aɪd
blackout,allow,priesthood,ˈblæˌkaʊt,əˈlaʊ,ˈpristhʊd
bird,accord,match,bərd,əˈkɔrd,mæʧ
orchid cactus,practice,diary,ˈɔrkəd ˈkæktəs,ˈpræktɪs,ˈdaɪəri
breast,deft,tip,brɛst,dɛ,tɪp
nice,ice,rainy,nis,aɪs,ˈreɪni
karate,gaudy,overrated,kərˈɑti,ˈgɔdi,ˌoʊvərˈreɪtɪd
tale,jail,kitchen,teɪl,ʤeɪ,ˈkɪʧən
hatred,hated,regime,ˈheɪtrəd,ˈheɪtɪ,rəˈʒim
clover,hangover,embarrass,ˈkloʊvər,ˈhæˌŋoʊvər,ɪmˈbɛrəs
handbag,drag,abacus,ˈhændˌbæg,dræ,ˈæbəkəs
power,ivory tower,chow,paʊər,ˈaɪvəri taʊər,ʧaʊ
greed,precede,exercise,grid,prɪˈsi,ˈɛksərˌsaɪz
deck,exec,congregation,dɛk,ˌɛgˈzɛ,ˌkɑŋgrəˈgeɪʃən
deeply,greedy,stink,ˈdipli,ˈgridi,stɪŋk
story,cherry,scorpion,ˈstɔri,ˈʧɛri,ˈskɔrpiən
ship,slip,answer,ʃɪp,slɪ,ˈænsər
cascade,parade,idiotic,kæˈskeɪd,pəreɪ,ˌɪdiˈɑtɪk
festoon,tune,bombing,ˌfɛˈstun,tun,ˈbɑmɪŋ
succumbed,overcome,sidewalk,səˈkəmd,ˈoʊvərˌkə,ˈsaɪdˌwɔk
sweet,feet,drink,swit,fit,drɪŋk
moira,paranoia,congo,ˈmɔɪrə,ˌpɛrəˈnɔɪə,ˈkɑŋgoʊ
anyone,un,limitation,ˈɛniˌwən,ˈjuˈɛn,ˌlɪmɪˈteɪʃən
wedding rings,everything,alight,ˈwɛdɪŋ rɪŋz,ˈɛvriˌθɪ,əˈlaɪt
kaboom,broom,plucky,kəˈbum,bru,ˈpləki
butter,better,monasticism,ˈbətər,ˈbɛtə,məˈnæstəˌsɪzəm
abhorred,word,merchandise,əˈbhɔrd,wərd,ˈmərʧənˌdaɪz
park,quirk,wolf,pɑrk,kwə,wʊlf
follower,oliver,wrecker,ˈfɑloʊər,ˈɑlɪvə,ˈrɛkər
bowling,foaling,gullible,ˈboʊlɪŋ,ˈfoʊlɪ,ˈgələbəl
pants,supplants,herb,pænts,səˈplæ,ərb
book,mistook,sneaker,bʊk,mɪˈstʊk,sˈnikər
eject,effect,hormone,ɪˈʤɛkt,ˈifɛkt,ˈhɔrˌmoʊn
riposte,ghost,sill,rɪˈpoʊst,goʊ,sɪl
tong,song,admire,tɔŋ,sɔ,ædˈmaɪr
toad,railroad,trek,toʊd,ˈreɪˌlroʊd,trɛk
strife,butcher knife,intend,straɪf,ˈbʊʧər naɪf,ˌɪnˈtɛnd
compliment,accomplishments,blueberry,ˈkɑmpləmɛnt,əˈkɑmplɪʃmənts,ˈbluˌbɛri
store,core,cooperation,stɔr,kɔr,kˌwɔpərˈeɪʃən
pay,ray,super,peɪ,reɪ,ˈsupər
store,prayer,coil,stɔr,prɛ,kɔɪl
ivan,driving,handgun,ˈaɪvən,ˈdraɪvɪŋ,ˈhændˌgən
subscribe,pipe,cope,səbˈskraɪb,paɪ,koʊp
block grant,plant,speak,blɑk grænt,plæ,spik
sit,mitt,joyous,sɪt,mɪ,ʤɔɪəs
allusion,conclusion,classroom,əˈluʒən,kənˈkluʒə,ˈklæsˌrum
dot,spot,notation,dɑt,spɑt,noʊˈteɪʃən
creek,meek,bandana,krik,mik,ˌbænˈdænə
poison,chosen,museum,ˈpɔɪzən,ˈʧoʊzən,mˈjuziəm
necessity,remedy,noodles,nəˈsɛsɪti,ˈrɛmədi,ˈnudəlz
hardest,garbage,compassionate,ˈhɑrdəst,ˈgɑrbɪʤ,kəmˈpæʃənət
good morning,turning,satisfying,gʊd ˈmɔrnɪŋ,ˈtərnɪŋ,ˈsætɪsˌfaɪɪŋ
dosing,notion,result,ˈdoʊsɪŋ,ˈnoʊʃən,rɪˈzəlt
condemned,bend,ex-husband,kənˈdɛmd,bɛ,ɛks ˈhəzbənd
chrome,guillaume,glance,kroʊm,ˌgɪˈlaʊ,glæns
casket,rabbit,exception,ˈkæskət,ˈræbɪ,ɪkˈsɛpʃən
circus,surface,pneumonia,ˈsərkəs,ˈsərfəs,nəˈmoʊnjə
straight,consummate,reporter,streɪt,ˈkɑnsəˌmeɪt,rɪˈpɔrtər
ghetto,sparrow,guest,ˈgɛtoʊ,ˈspɛroʊ,gɛst
trace,horse race,vengeful,treɪs,hɔrs reɪ,ˈvɛnʤfəl
brain,arcane,priest,breɪn,ˌɑrˈkeɪ,prist
topography,policy,illustrate,təˈpɑgrəfi,ˈpɑləsi,ˈɪləˌstreɪt
laid,spade,mocha,leɪd,speɪd,ˈmoʊkə
